"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]","Average temperature [°C]"
"Kuopio keskusta","2003","12","16","02:00","-","-8.4"
"Kuopio keskusta","2003","12","17","02:00","-","-11.2"
"Kuopio keskusta","2003","12","18","02:00","-","-10.9"
"Kuopio keskusta","2003","12","19","02:00","-","0.6"
"Kuopio keskusta","2003","12","20","02:00","-","-8.1"
"Kuopio keskusta","2003","12","21","02:00","-","-10.5"
"Kuopio keskusta","2003","12","22","02:00","-","-11.9"
"Kuopio keskusta","2003","12","23","02:00","-","-18.3"
"Kuopio keskusta","2003","12","24","02:00","-","-9.3"
"Kuopio keskusta","2003","12","25","02:00","-","1.7"
"Kuopio keskusta","2003","12","26","02:00","-","0.6"
"Kuopio keskusta","2003","12","27","02:00","-","-0.3"
"Kuopio keskusta","2003","12","28","02:00","-","1.3"
"Kuopio keskusta","2003","12","29","02:00","-","-1.5"
"Kuopio keskusta","2003","12","30","02:00","-","-3.5"
"Kuopio keskusta","2003","12","31","02:00","-","-5.1"
"Kuopio keskusta","2004","1","1","02:00","-","-17.8"
"Kuopio keskusta","2004","1","2","02:00","-","-19"
"Kuopio keskusta","2004","1","3","02:00","-","-13.8"
"Kuopio keskusta","2004","1","4","02:00","-","-12.1"
"Kuopio keskusta","2004","1","5","02:00","-","-9.8"
"Kuopio keskusta","2004","1","6","02:00","-","-11.4"
"Kuopio keskusta","2004","1","7","02:00","-","-6.3"
"Kuopio keskusta","2004","1","8","02:00","-","-5.8"
"Kuopio keskusta","2004","1","9","02:00","-","-6.1"
"Kuopio keskusta","2004","1","10","02:00","-","-11.2"
"Kuopio keskusta","2004","1","11","02:00","-","-17.1"
"Kuopio keskusta","2004","1","12","02:00","-","-11"
"Kuopio keskusta","2004","1","13","02:00","-","-5.4"
"Kuopio keskusta","2004","1","14","02:00","-","-5.6"
"Kuopio keskusta","2004","1","15","02:00","-","-6.8"
"Kuopio keskusta","2004","1","16","02:00","-","-10.4"
"Kuopio keskusta","2004","1","17","02:00","-","-8.6"
"Kuopio keskusta","2004","1","18","02:00","-","-7.7"
"Kuopio keskusta","2004","1","19","02:00","-","-17.4"
"Kuopio keskusta","2004","1","20","02:00","-","-16.2"
"Kuopio keskusta","2004","1","21","02:00","-","-14.4"
"Kuopio keskusta","2004","1","22","02:00","-","-15.7"
"Kuopio keskusta","2004","1","23","02:00","-","-15"
"Kuopio keskusta","2004","1","24","02:00","-","-1.7"
"Kuopio keskusta","2004","1","25","02:00","-","-5.3"
"Kuopio keskusta","2004","1","26","02:00","-","-9"
"Kuopio keskusta","2004","1","27","02:00","-","-6.7"
"Kuopio keskusta","2004","1","28","02:00","-","-7.6"
"Kuopio keskusta","2004","1","29","02:00","-","-6"
"Kuopio keskusta","2004","1","30","02:00","-","-7.6"
"Kuopio keskusta","2004","1","31","02:00","-","-6.3"
"Kuopio keskusta","2004","2","1","02:00","-","-4"
"Kuopio keskusta","2004","2","2","02:00","-","-8.4"
"Kuopio keskusta","2004","2","3","02:00","-","-5.3"
"Kuopio keskusta","2004","2","4","02:00","-","-0.6"
"Kuopio keskusta","2004","2","5","02:00","-","-2.5"
"Kuopio keskusta","2004","2","6","02:00","-","-7.7"
